id,date,hour,leagueMatchNb,idHome,homeTeam,idAway,awayTeam,h_score,a_score,h_possession,h_duelsWon,h_aerialDuelsWon,h_interceptions,h_offPlays,h_corners,h_passes,h_longPasses,h_succeededPasses,h_succeededPassesOppositeSide,h_centers,h_succeededCenters,h_shots,h_targetedShots,h_counteredShots,h_extSurfaceShots,h_intSurfaceShots,h_precisionShots,h_tackles,h_succeededTackles,h_clears,h_concededFaults,h_yellowCards,h_redCards,a_possession,a_duelsWon,a_aerialDuelsWon,a_interceptions,a_offPlays,a_corners,a_passes,a_longPasses,a_succeededPasses,a_succeededPassesOppositeSide,a_centers,a_succeededCenters,a_shots,a_targetedShots,a_counteredShots,a_extSurfaceShots,a_intSurfaceShots,a_precisionShots,a_tackles,a_succeededTackles,a_clears,a_concededFaults,a_yellowCards,a_redCards
68153,20201018,1500,7,3,ASM,8,MHSC,1,1,80.3,57.4,52.3,7,2,10,678,56,86.6,79.5,44,22.7,21,7,7,10,11,33.3,13,46.2,4,13,2,0,19.7,42.6,47.7,21,3,2,165,71,52.7,42.9,8,25.0,3,2,0,1,2,66.7,8,62.5,42,13,1,1
68154,20201018,1500,7,18,FCN,17,SB29,3,1,39.7,51.4,47.4,12,6,2,347,62,70.0,65.2,10,20.0,12,8,2,2,10,66.7,20,60.0,11,15,3,0,60.3,48.6,52.6,15,3,6,520,74,80.6,68.8,20,40.0,14,5,1,7,7,35.7,17,52.9,5,15,2,0
68157,20201018,1700,7,11,ASSE,9,OGCN,1,3,45.9,45.6,66.7,12,2,7,428,53,84.1,68.9,27,14.8,11,4,5,4,7,36.4,18,55.6,8,15,2,0,54.1,54.4,33.3,10,1,3,525,62,81.3,62.9,10,20.0,10,5,1,3,7,50.0,27,70.4,23,10,5,0
68151,20201018,2100,7,1,LOSC,7,RCL,4,0,56.8,46.8,44.8,11,1,7,515,40,83.7,72.9,13,30.8,16,6,6,4,12,37.5,11,45.5,9,13,0,0,43.2,53.2,55.2,10,1,2,393,61,73.8,57.6,9,44.4,7,2,2,3,4,28.6,23,60.9,7,16,1,2
68168,20201023,2100,8,6,SRFC,13,SCO,1,2,63.7,48.6,57.1,10,2,5,688,52,89.5,82.8,28,17.9,11,1,3,2,9,9.1,19,47.4,7,11,2,0,36.3,51.4,42.9,17,2,4,399,44,82.2,67.4,10,10.0,10,4,5,2,8,40.0,17,41.2,30,5,0,0
68162,20201024,1700,8,16,FCL,5,OM,0,1,35.1,56.7,63.8,20,1,6,278,60,66.9,52.2,23,26.1,12,3,0,5,7,25.0,25,68.0,6,10,3,0,64.9,43.3,36.2,10,0,4,551,73,79.3,70.9,10,50.0,15,3,3,6,9,20.0,23,69.6,18,12,3,0
68167,20201024,2100,8,2,PSG,20,DFCO,4,0,55.2,57.9,66.7,11,2,4,538,30,90.9,84.4,12,58.3,20,9,3,3,17,45.0,21,76.2,16,12,0,0,44.8,42.1,33.3,12,0,10,420,37,89.0,78.5,24,33.3,16,3,5,5,11,18.8,15,80.0,8,18,2,0
68159,20201025,1500,8,12,FCGB,19,NO,2,0,59.3,60.2,60.0,11,2,7,552,43,88.6,74.8,22,22.7,20,6,5,5,15,30.0,14,64.3,19,9,3,0,40.7,39.8,40.0,8,1,4,378,67,79.6,56.5,17,17.6,8,4,0,3,5,50.0,20,65.0,21,16,3,0
68160,20201025,1500,8,17,SB29,15,RCSA,0,3,63.2,44.2,52.4,15,3,12,576,59,84.7,71.6,35,25.7,14,4,2,4,10,28.6,5,60.0,2,8,1,0,36.8,55.8,47.6,16,1,2,349,73,71.6,58.6,9,33.3,7,5,1,3,4,71.4,17,58.8,32,11,3,0
68164,20201025,1500,8,10,FCM,11,ASSE,2,0,42.4,50.0,44.7,22,1,5,323,63,71.8,55.1,16,12.5,6,3,0,4,2,50.0,22,86.4,18,11,3,0,57.6,50.0,55.3,15,1,3,439,54,79.5,67.0,19,15.8,10,0,4,5,5,0.0,21,71.4,19,18,3,0
